Mentee ID,Mentee Firstname,Mentee Lastname,Mentee Email,Mentee Program,Mentee Interests,Mentee Hobbies,Mentee Requests,Mentee Country,Mentee City,Mentee Residence
433216,Harper,Moore,hmoor@ualberta.ca,Chemistry,"I am fascinated by physical chemistry, particularly in understanding the principles that govern chemical reactions. My research focuses on thermodynamics, kinetics, and quantum chemistry to elucidate the mechanisms of chemical processes.","Theater, Foreign languages, Community service, Gaming","The lab work in my neuroscience courses requires a lot of precision and time, which I find challenging. Balancing lab assignments with other coursework is difficult. I need strategies for improving my lab skills and managing my time more effectively.",Brazil,Goiânia,FALSE
548417,Elijah,Thomas,ethoma@ualberta.ca,Computer Science,I am fascinated by the field of quantum computing. The idea of harnessing the principles of quantum mechanics to solve complex computational problems that are currently intractable with classical computers is what motivates my studies.,"Cooking or baking, History, Social causes, Writing or blogging","The stress of university life is really affecting my mental health. I often feel anxious and overwhelmed by my academic responsibilities. I need practical tips on managing stress, maintaining my mental well-being, and finding balance in my life.",Brazil,Curitiba,FALSE
868212,Olivia,Taylor,otaylo@ualberta.ca,Astrophysics,"My interest in stellar evolution drives me to study the life cycles of stars. From their formation in nebulae to their ultimate fate as supernovae or white dwarfs, I aim to understand the processes that shape the universe's stellar populations.","Gaming, Outdoor activities, Artistic and/or graphic design, Team or individual sports","The lab work in my physics courses requires a lot of precision and time, which I find challenging. Balancing lab assignments with other coursework is difficult. I need strategies for improving my lab skills and managing my time more effectively.",South Korea,Changwon,TRUE
504078,Amelia,Williams,awilliam@ualberta.ca,Neuroscience,"I am interested in neuropharmacology, where I study how drugs affect the nervous system. My goal is to develop new pharmacological treatments for neurological and psychiatric disorders, enhancing the effectiveness and reducing side effects.","Travel, Theater, Exercising, Making or listening to music","The workload in university is much more intense than I expected, and it's causing me a lot of stress. I feel overwhelmed by the number of assignments and exams. I need strategies to manage my stress levels and handle the academic pressure effectively.",Canada,Kingston,FALSE
414843,Charlotte,Hernandez,chernande@ualberta.ca,Biology,"My interest lies in the study of molecular biology, particularly in how molecular interactions drive cellular function. I am dedicated to exploring the intricacies of signal transduction pathways and their implications for disease treatment and prevention.","Social causes, Writing or blogging, Gaming, History","I'm struggling to keep track of my classes and deadlines. The course registration process was confusing, and I'm worried about managing my schedule effectively. I need guidance on how to organize my classes and stay on top of my coursework.",Canada,London,FALSE
181812,Elijah,Williams,ewilliam@ualberta.ca,Computer Science,"My interest lies in the field of database management systems. I enjoy designing and optimizing databases to handle vast amounts of information efficiently, ensuring data integrity, security, and accessibility for users.","Artistic and/or graphic design, Team or individual sports, Cooking or baking, Outdoor activities",Learning to code has been a steep learning curve for me. I often get stuck on programming assignments and feel overwhelmed. I need practical tips on improving my coding skills and understanding the core concepts.,Canada,Guelph,TRUE
146754,James,Smith,jsmit@ualberta.ca,Pharmacology,"I am passionate about pharmacokinetics, where I study how drugs are absorbed, distributed, metabolized, and excreted in the body. My goal is to optimize drug dosing regimens to enhance therapeutic effects and minimize side effects.","Making or listening to music, Foreign languages, Theater, Community service",I'm struggling to find a balance between my academic responsibilities and taking care of myself. I often neglect my physical and mental health because I'm so focused on my studies. I need tips on how to prioritize self-care while still keeping up with my coursework.,Brazil,Curitiba,FALSE
567775,Harper,Weisger,htaylo@ualberta.ca,Math,"My interest lies in applied mathematics, where I can use mathematical models to solve real-world problems. I enjoy working on problems in physics, engineering, and finance, using differential equations and statistical methods.","Exercising, Travel, Gaming, Writing or blogging",The anxiety I feel about performing well in my courses is affecting my confidence. I often doubt my abilities and worry about failing. I need strategies to manage my anxiety and build self-confidence in my academic performance.,Canada,Vancouver,FALSE
312890,Henry,Raza,htaylo@ualberta.ca,Neuroscience,"My passion lies in sensory neuroscience, particularly in understanding how the brain processes sensory information. I aim to explore the neural pathways involved in vision, hearing, and touch, and how these systems integrate to create perception.","History, Social causes, Outdoor activities, Artistic and/or graphic design","The transition from high school to university has been harder than I anticipated. I'm not sure where to find the support I need, whether it's academic help or mental health resources. I need guidance on how to adjust to this new environment and utilize the available support systems.",India,Delhi,TRUE
867217,Amelia,Davis,adavi@ualberta.ca,Pharmacology,"My interest lies in pharmacodynamics, focusing on how drugs interact with biological systems to produce their effects. I aim to understand the mechanisms of action of different drugs and how they influence cellular and molecular processes.","Cooking or baking, Theater, Making or listening to music, Team or individual sports","The lab work in my pharmacology courses requires a lot of precision and time, which I find challenging. Balancing lab assignments with other coursework and personal activities is difficult. I need strategies for improving my lab skills, managing my time more effectively, and maintaining a healthy work-life balance.",Canada,Sherbrooke,FALSE
774925,Alexander,Martinez,amartine@ualberta.ca,Math,"I am passionate about pure mathematics, particularly number theory. My goal is to explore the properties and relationships of numbers, delving into prime numbers, cryptographic applications, and unsolved problems in mathematics.","Gaming, Writing or blogging, Community service, Foreign languages","I have a habit of procrastinating, which leads to last-minute cramming and a lot of stress. I struggle to stay focused and motivated throughout the semester. I need tips on how to overcome procrastination and maintain concentration on my studies.",Canada,Winnipeg,FALSE
145686,William,Rodriguez,wrodrigue@ualberta.ca,Chemistry,"I am passionate about organic chemistry, where I study the structure, properties, and reactions of carbon-containing compounds. My goal is to synthesize new organic molecules that can be used in pharmaceuticals, materials science, and biotechnology.","Travel, Exercising, History, Social causes","Organic chemistry is proving to be very difficult for me, and I often feel lost during lectures. Additionally, I'm hesitant to ask for help from professors or classmates. I need guidance on mastering organic chemistry concepts and advice on seeking help when needed.",United Kingdom,Belfast,FALSE
678267,Lucas,Lopez,llope@ualberta.ca,Pharmacology,"I am dedicated to the field of cancer pharmacology, studying how drugs can be used to treat cancer. My goal is to discover and develop new chemotherapeutic agents that target cancer cells while sparing healthy tissues.","Theater, Artistic and/or graphic design, Gaming, Cooking or baking","I have a part-time job to support myself, but it's challenging to balance work with my studies. I often feel exhausted and fall behind in my coursework. I need guidance on managing my time effectively to juggle work and academic responsibilities.",India,Pimpri-Chinchwad,TRUE
773220,Amelia,Hernandez,ahernande@ualberta.ca,Psychology,"I am passionate about clinical psychology, particularly in the assessment and treatment of mental health disorders. My goal is to provide effective therapeutic interventions for individuals struggling with conditions such as depression, anxiety, and PTSD.","Team or individual sports, Outdoor activities, Writing or blogging, Making or listening to music","I'm finding it hard to balance my coursework with my personal life. The academic pressure to perform well is overwhelming, and I often feel like there aren't enough hours in the day to get everything done. I need strategies for effective time management and ways to cope with the pressure.",Canada,Quebec City,FALSE
362171,William,Thomas,wthoma@ualberta.ca,Neuroscience,"I am fascinated by the emerging field of computational neuroscience, where mathematical models and simulations are used to understand brain function. My goal is to develop models that can predict neural behavior and inform experimental neuroscience.","Foreign languages, Social causes, Theater, History","neuroscience courses are much harder to grasp than I expected. I often feel overwhelmed by the volume of information. Additionally, I'm finding it difficult to meet new people and make friends in my classes. I need help with understanding these challenging concepts and advice on social integration.",United Kingdom,Glasgow,FALSE
332056,Isabella,Johnson,ijohnso@ualberta.ca,Kinesiology,I am deeply passionate about the biomechanics of human movement. My interest lies in understanding how different exercises affect muscle function and how we can optimize physical performance through targeted training programs.,"Exercising, Travel, Gaming, Writing or blogging","The heavy coursework in my kinesiology program leaves me little time for extracurricular activities, which I enjoy. I need advice on managing my academic responsibilities while still having time for hobbies and activities outside of school.",United States,Seattle,TRUE
